nom;type;commune;département;longitude (X);latitude (Y)
Institut supérieur d'ostéopathie de Lyon;Ecole de santé;Ecully;Rhône;4.7604274749756;45.784763729574
Institut de formation d'aides-soignants de l'Argentière;Ecole de santé;Aveize;Rhône;4.477940083;45.68082047
Inseec School of Business and Economics - groupe Inseec;Ecole de gestion et de commerce;Lyon;Rhône;4.8369680000001;45.7707026
Burgundy School of Business;Ecole de gestion et de commerce;Lyon;Rhône;4.824707;45.7461805
CRESFA Formation - Sciences U Lyon;Ecole de gestion et de commerce;Lyon;Rhône;4.865693;45.747483
Pôle formation santé-Lyon;Ecole de santé;Lyon;Rhône;4.7999856;45.7775465
Institut de formation en soins infirmiers et formation d'aides soignants J. Lepercq, Hôpital St-Joseph St-Luc;Ecole de santé;Lyon;Rhône;4.839056;45.746994
Institut Paul Bocuse;Ecole de gestion et de commerce;Ecully;Rhône;4.778240204;45.77463913
IDRAC Business School;Ecole de gestion et de commerce;Lyon;Rhône;4.8062299000001;45.7685487
Césame;Ecole de santé;Lyon;Rhône;4.873101;45.744912
CEESO Lyon Centre européen d'enseignement supérieur de l'ostéopathie;Ecole de santé;Lyon;Rhône;4.839996;45.753141
Ecole Rockefeller;Ecole de santé;Lyon;Rhône;4.885377;45.741223
Ecole supérieure du commerce extérieur;Ecole de gestion et de commerce;Lyon;Rhône;4.8401724;45.7510385
Ecole de sages-femmes, faculté médecine et maïeutique Lyon-Sud, université Claude Bernard Lyon1;Ecole de santé;Oullins;Rhône;4.79839;45.7077414
Association régionale pour la formation, la recherche et l'innovation en pratiques sociales;Ecole du secteur social;Lyon;Rhône;4.8099968;45.7890808
Institut de formation en soins infirmiers et formation d'aides-soignants- Hôpital Nord-Ouest de Villefranche;Ecole de santé;Villefranche-sur-Saône;Rhône;4.702154;46.001825
Institut de formation d'aides-soignant de l'hôpital Nord-Ouest Tarare;Ecole de santé;Tarare;Rhône;4.440767;45.891753
Andrew Taylor Still Academy Formation Initiale;Ecole de santé;Limonest;Rhône;4.7747426;45.8074642
Institut de formation aux carrières de santé des HCL-site Lacassagne;Ecole de santé;Lyon;Rhône;4.8893296;45.7446836
Ecole supérieure de biologie-biochimie-biotechnologies;Ecole de santé;Lyon;Rhône;4.8240999;45.7477113
IRFSS Auvergne-Rhône-Alpes - Croix-Rouge française- site de Lyon;Ecole de santé;Lyon;Rhône;4.8766955999999;45.7493665
UFR lettres, sciences du langage et arts;Unité de formation et de recherche;Lyon;Rhône;4.836115;45.750647
Faculté des sciences et technologies - Département informatique;Unité de formation et de recherche;Villeurbanne;Rhône;4.8647926;45.781382
Institut des sciences pharmaceutiques et biologiques;Unité de formation et de recherche;Lyon;Rhône;4.880568;45.742419
UFR droit et science politique;Unité de formation et de recherche;Lyon;Rhône;4.838203;45.750597
Centre de langues;Unité de formation et de recherche;Bron;Rhône;4.9149924;45.7229341
Faculté de médecine Lyon-Est - Claude Bernard;Unité de formation et de recherche;Lyon;Rhône;4.880568;45.742419
Institut des sciences et techniques de la réadaptation;Unité de formation et de recherche;Lyon;Rhône;4.880568;45.742419
Institut Saint-Laurent;Ecole du secteur social;Ecully;Rhône;4.774822;45.781323
Carrel Ecole des métiers de la santé et du social;Ecole du secteur social;Lyon;Rhône;4.8496046;45.7659591
Faculté des sciences et technologies - Département biologie;Unité de formation et de recherche;Villeurbanne;Rhône;4.8670887;45.7789354
Faculté d'odontologie;Unité de formation et de recherche;Lyon;Rhône;4.88738;45.737583
Institut de psychologie;Unité de formation et de recherche;Bron;Rhône;4.9149924;45.7229341
Faculté des sciences et technologies - Département génie électrique et des procédés;Unité de formation et de recherche;Villeurbanne;Rhône;4.8670887;45.7789354
Institut d'études judiciaires;Unité de formation et de recherche;Lyon;Rhône;4.837055;45.751854
Institut d'études du travail de Lyon;Unité de formation et de recherche;Lyon;Rhône;4.8382328;45.7513803
Institut d'administration des entreprises;Unité de formation et de recherche;Lyon;Rhône;4.860764;45.749139
Institut des sciences et pratiques d'éducation et de formation;Unité de formation et de recherche;Lyon;Rhône;4.83722;45.749162
Institut de droit patrimonial et immobilier;Unité de formation et de recherche;Lyon;Rhône;4.837055;45.751854
UFR de sciences économiques et de gestion;Unité de formation et de recherche;Lyon;Rhône;4.836743;45.751451
Institut de la communication;Unité de formation et de recherche;Bron;Rhône;4.9149924;45.7229341
UFR Temps et Territoires;Unité de formation et de recherche;Bron;Rhône;4.9153229;45.7225722
IUT Lyon 1 (site de Villeurbanne Doua);Institut universitaire de technologie;Villeurbanne;Rhône;4.8670887;45.7789354
IUT Lumière;Institut universitaire de technologie;Bron;Rhône;4.917685;45.723637
Faculté de droit;Unité de formation et de recherche;Lyon;Rhône;4.86042;45.749289
UFR anthropologie, sociologie, science politique;Unité de formation et de recherche;Bron;Rhône;4.9149924;45.7229341
Institut de formation de techniciens de laboratoire médical;Ecole de santé;Lyon;Rhône;4.8240999;45.7477113
IUT Lyon 1 (site de Villeurbanne Gratte-ciel);Institut universitaire de technologie;Villeurbanne;Rhône;4.887054;45.766994
